"agd_tail","predicted","std.error","conf.low","conf.high","group"
0.073,1.76648137886504,0.0248073110213597,1.61019439850227,1.93639794802678,"1"
0.075,1.76705638980632,0.0248185709465948,1.6106410095432,1.93711963903204,"1"
0.077,1.76763158736579,0.0248301995350775,1.61108542050462,1.93784434192255,"1"
0.079,1.76820697160383,0.0248421962690959,1.61152763326733,1.93857205533935,"1"
0.08,1.76849473374618,0.0248483325246889,1.61174791594244,1.93893704054001,"1"
0.082,1.76907039811531,0.0248608804727007,1.61218683517736,1.93966926695512,"1"
0.084,1.76964624931403,0.0248737952049587,1.61262356140179,1.94040450001426,"1"
0.086,1.77022228740278,0.0248870761504533,1.61305809688342,1.94114273797268,"1"
0.087,1.77051037654981,0.0248938537706307,1.61327454383407,1.94151298321422,"1"
0.089,1.77108669508699,0.0249076829326546,1.61370579769094,1.94225572501326,"1"
0.091,1.77166320066541,0.0249218768152337,1.61413486694788,1.94300146687736,"1"
0.092,1.77195152361399,0.0249291103326746,1.61434858317361,1.94337546217532,"1"
0.096,1.77310528331399,0.0249589530513279,1.61519800007897,1.94487893264846,"1"
0.098,1.77368244401338,0.0249744184564553,1.61561944475151,1.94563515735362,"1"
0.099,1.77397109460192,0.0249822868783659,1.61582935244269,1.94601439100309,"1"
0.101,1.77454853629457,0.0249982947336931,1.6162475404642,1.94677509929484,"1"
0.103,1.77512616539183,0.0250146633579611,1.61666356131775,1.94753879336853,"1"
0.105,1.77570398195431,0.0250313920434237,1.6170774182673,1.94830547048612,"1"
0.107,1.77628198604268,0.0250484800686777,1.61748911467666,1.94907512781006,"1"
0.108,1.77657105842803,0.0250571586045904,1.617694153757,1.94946107313572,"1"
0.11,1.77714934391897,0.0250747842573939,1.61810261587906,1.95023519523363,"1"
0.112,1.77772781708751,0.0250927673877158,1.61850892630044,1.95101229001543,"1"
0.113,1.77801712406985,0.0251018927674501,1.61871127577747,1.9514019511735,"1"
0.117,1.77917482149683,0.0251392841056893,1.6195153132115,1.95296801137574,"1"
0.12,1.78004358775222,0.0251682591302984,1.62011272649987,1.95415033101376,"1"
0.122,1.78062300021988,0.0251880178709759,1.62050833587895,1.95494223967149,"1"
0.124,1.78120260072972,0.0252081292897207,1.62090181719203,1.9557371005478,"1"
0.125,1.78149247151948,0.0252183169902668,1.62109776115129,1.95613563690588,"1"
0.126,1.78178238934259,0.025228592543102,1.62129317469809,1.9565349099131,"1"
0.128,1.78236236611935,0.0252494067756922,1.62168241274447,1.95733566394978,"1"
0.129,1.7826524250882,0.0252599452386301,1.6218762383527,1.9577371440031,"1"
0.131,1.78323268422493,0.0252812843102754,1.62226230555124,1.95854230769916,"1"
