"X","focal_ID","focal_DOB","Date_Sampled","Genetic_Sex","Consensus_Sex","AGD_day13","AGD_age_10to15d","AGD_weight","AGD_tail_length","dam_ID","sire_ID","Genetic_LitterID_95CI","Genetic_LitterSize_95CI","Genetic_LitterID_80CI","Genetic_LitterSize_80CI","Social_LitterID","Social_LitterSize","Data_Type","Ind_Deathdate","sex.ratio.M","Density.DOB","Females.at.DOB","Season.DOB","Year_born","hairDate_1","hairDate_2","hairDate_3","Testo_pg.mg_1","Testo_pg.mg_2","Testo_pg.mg_3","Prog_pg.mg_1","Prog_pg.mg_2","Prog_pg.mg_3","Cort_pg.mg_1","Cort_pg.mg_2","Cort_pg.mg_3","AEA_ng.mg_1","AEA_ng.mg_2","AEA_ng.mg_3","AG2_ng.mg_1","AG2_ng.mg_2","AG2_ng.mg_3","OEA_ng.mg_1","OEA_ng.mg_2","OEA_ng.mg_3","Season.hair","sampleSeason_2","sampleSeason_3","closestPopCheck_hairSampling_1","closestPopCheck_hairSampling_2","closestPopCheck_hairSampling_3","Density.hair","Adults.at.hairSampling_2","Adults.at.hairSampling_3","Females.at.hairSampling_1","Females.at.hairSampling_2","Females.at.hairSampling_3","Date.1stLit","Age.1stLit","number_firstRepro","closestPopCheck_firstRepro","Density.1stLit","Females.at.firstRepro","motherCort","motherTesto","motherProg","motherAEA","mother2AG","motherOEA","motherPEA","motherSEA","motherSampleDate","Age_firstLit","closestPopCheck_hairSampling","Adults.at.hairSampling","Females.at.hairSampling","Age_last_seen","life.repro.success","life.repro.y.n","recruitment.y.n","Remarks","missing.tail.y.n","Testo","Year.Month_born","AGD.tail","AGD.weight","weight.tail","tail.day","Age.hair","closestPopCheck_1stLit","Females.at.1stLit","Season.1stLit","Date.Med.1stLit","Density.Med.1stLit","closestPopCheck_Med.1stLit","Females.at.Med.1stLit","Date.2months","Density.2months","closestPopCheck_Date.2months","Females.at.2months","Reproduction.y.n","Repro.onset","Date_last_seen_MM","Date_last_seen_PC","Date_death","Date_last_seen","Longevity"
2346,"'00075A6236",2015-07-31,"2015-08-12","F","F",2.8,13,4.5,40,"'00075A4ABA","'00074DA036","'00075A4ABA_B",5,"'00075A4ABA_B",5,"2015080310",4,"P",NA,44.4444444444444,276,184,"summer","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,0,0,"yes",NA,"no",NA,"2015-07",-0.0722291319075503,0.0335561879565209,-0.754585892763947,-5.10855034842227,NA,NA,NA,NA,2016-04-22,237,2016-04-26,183,2015-09-29,297,2015-10-20,193,0,NA,2015-11-01,2015-10-20,NA,2015-11-01,93
2348,"'00075A6310",2016-06-10,"2016-06-22","F","F",3.5,12.5,4.3,39,"'000757D300","'00075A3F70","'000757D300_B",6,"'000757D300_B",6,"2016061610_2",13,"P",NA,37.5,207,142,"summer","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-10,334,1,"2017-05-26",300,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,NA,NA,NA,472,1,1,"yes",NA,"no",NA,"2016-06",0.687459527479884,0.78155570747136,-0.778469580526156,-4.41303891011041,NA,2017-05-26,200,"Spring",2017-03-03,311,2017-02-27,177,2016-08-09,402,2016-08-30,236,1,"late",2017-08-09,2017-07-27,NA,2017-08-09,425
2349,"'00075A6345",2016-04-11,"2016-04-22","F","F",3.3,12,5,40,"'000757BBBC","'000757B512","'000757BBBC_A",2,"'000757BBBC_A",2,"2016041329_2",11,"P",NA,50,237,183,"spring","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-23,407,1,"2017-05-26",300,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,NA,NA,NA,545,5,1,"yes",NA,"no",NA,"2016-04",0.42777086809245,0.413557389169424,-0.254585892763947,-1.71752747179856,NA,2017-05-26,200,"Spring",2016-08-24,402,2016-08-30,236,2016-06-10,207,2016-07-07,142,1,"late",2017-09-15,2017-08-09,NA,2017-09-15,522
2350,"'00075A63D5",2016-06-29,"2016-07-11","F","F",4.3,13,6.3,43,"'000757AEA4","'000757E5FE","'000757AEA4_B",3,"'000757AEA4_B",3,"2016070705_2",12,"P",NA,25,207,142,"summer","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-22,327,2,"2017-05-26",300,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,NA,NA,NA,832,8,1,"yes",NA,"no",NA,"2016-06",1.24870488993015,1.10156051232297,0.51706517052268,-2.10855034842227,NA,2017-05-26,200,"Spring",2017-03-22,311,2017-02-27,177,2016-08-28,402,2016-08-30,236,1,"late",2018-08-24,2018-08-10,NA,2018-08-24,786
2353,"'00075A6549",2015-04-10,"2015-04-22","F","F",2.7,13,7.2,45,"'00075A341A","'000757E146","'00075A341A_A",2,"'00075A341A_A",2,"2015041505_1",5,"P",NA,20,222,122,"spring","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-07-29,110,4,"2016-04-26",276,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,NA,NA,NA,477,5,1,"yes","one.flea","no",NA,"2015-04",-0.47067242884472,-0.714437325493802,1.0648325460471,-0.108550348422274,NA,2015-08-25,184,"Summer",2015-08-23,276,2015-08-25,184,2015-06-09,307,2015-06-30,194,1,"early",2016-06-05,2016-05-31,NA,2016-06-05,422
2354,"'00075A65A2",2016-06-29,"2016-07-11","F","F",3.5,12.5,4.2,41,"'000757EBAC","'00075A1552","'000757EBAC_B",2,"'000757EBAC_B",2,"2016070712s_1",4,"P",NA,0,207,142,"summer","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-04-05,280,1,"2017-02-27",311,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,NA,NA,NA,506,3,1,"yes",NA,"no",NA,"2016-06",0.568082208705016,0.805555467228779,-1.23070220500174,-2.41303891011042,NA,2017-02-27,177,"Spring",2017-03-22,311,2017-02-27,177,2016-08-28,402,2016-08-30,236,1,"late",2017-09-30,2017-09-18,NA,2017-09-30,458
2355,"'00075A65AB",2015-02-08,"2015-02-19","F","F",3.4,12,7.8,41,"'000757C753","'00075B13BD","'000757C753_A",5,"'000757C753_A",5,"2015021535",7,"P",NA,80,222,122,"winter","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-24,136,2,"2015-06-30",307,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,629,27,1,"yes",NA,"no",NA,"2015-02",0.468082208705016,-0.158435884038318,2.36929779499826,-0.717527471798557,NA,2015-06-30,194,"Summer",2015-06-03,243,2015-05-11,146,2015-04-09,222,2015-03-24,122,1,"late",2016-09-17,2016-08-30,NA,2016-09-17,587
2357,"'00075A668A",2016-06-30,"2016-07-13","F","F",4.1,14,7.6,55,"'00075DFEBB","'00075A5E00","'00075DFEBB_B",3,"'00075DFEBB_B",3,"2016070724_1",4,"P","2017-04-24",80,207,142,"summer","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,0,0,"yes","one.flea","no",NA,"2016-06",0.33244097728094,0.58956363547652,-0.29633057633081,6.50042677495401,NA,NA,NA,NA,2017-03-23,311,2017-02-27,177,2016-08-29,402,2016-08-30,236,0,NA,2017-04-20,2017-04-24,2017-04-24,2017-04-24,298
2359,"'00075A6759",2014-01-17,"2014-01-29","F","F",1.9,13,5.3,39,"'0007284F18","'000728A6F5","'0007284F18_B",1,"'0007284F18_B",4,"2014012713_1",3,"P","2015-06-24",42.8571428571429,224,157,"winter","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-26,99,1,"2014-06-04",199,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,523,7,1,"yes",NA,"no",NA,"2014-01",-0.912540472520116,-1.05844189010283,0.221530419473844,-6.10855034842227,NA,2014-04-28,126,"Spring",2014-05-12,199,2014-04-28,126,2014-03-18,224,2014-02-21,157,1,"early",2015-05-07,2015-06-24,2015-06-24,2015-06-24,523
2360,"'00075A675D",2015-04-16,"2015-04-27","F","F",2.9,12,5.1,38,"'00075B4194","'00074C33E4","'00075B4194_B",2,"'00075B4194_B",2,"2015042711",12,"P",NA,30,222,122,"spring","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-07-14,89,2,"2015-06-30",307,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,582,8,1,"yes","sampled.when.found","no",NA,"2015-04",0.147148186867318,-0.0104423705879952,0.197646731711634,-3.71752747179856,NA,2015-06-30,194,"Summer",2015-08-29,276,2015-08-25,184,2015-06-15,307,2015-06-30,194,1,"early",2016-09-25,2016-09-19,NA,2016-09-25,528
2361,"'00075A67BF",2015-08-29,"2015-09-09","F","F",3.2,12,6.2,45,"'00075B9469","'00075A0CB4","'00075B9469_A",3,"'00075B9469_A",3,"2015090728",8,"P",NA,57.1428571428571,276,184,"summer","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-24,330,2,"2016-07-07",207,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,NA,NA,NA,652,4,1,"yes",NA,"no",NA,"2015-08",0.0293275711552803,0.0255602720803918,0.0648325460470989,3.28247252820144,NA,2016-07-07,142,"Summer",2016-05-21,237,2016-04-26,183,2015-10-28,297,2015-10-20,193,1,"late",2017-04-17,2017-04-12,NA,2017-04-17,597
