"x","predicted","std.error","conf.low","conf.high","group"
207,49.0230476181084,0.0383812087132768,45.4629327727513,52.8619482113073,"Spring"
207,49.618124449886,0.0312665990208737,46.662384858271,52.7610897171705,"Summer"
207,47.6986393179647,0.0426351813874993,43.8666111130711,51.8654196222453,"Autumn"
207,44.7834754153533,0.0371731430531482,41.6299157201361,48.1759243463343,"Winter"
252,47.8936616626517,0.0340874954897486,44.7917606121079,51.21037432131,"Spring"
252,48.4750291995388,0.0260665200228255,46.0554291596754,51.0217470289816,"Summer"
252,46.5997648913938,0.0376664042325761,43.2763539473725,50.1783974355591,"Autumn"
252,43.7517601175888,0.0345498880937641,40.8809665665085,46.8241500668246,"Winter"
286,47.0576362698644,0.031415579716692,44.2414753193389,50.0530580258223,"Spring"
286,47.6288555322929,0.0226778400805498,45.5537117910558,49.7985299138991,"Summer"
286,45.7863255886832,0.0343128352851372,42.8019590625407,48.9787770660157,"Autumn"
286,42.9880352077023,0.0333409432221645,40.2628551123984,45.8976683561021,"Winter"
300,46.7176468630018,0.0304943153658094,44.0013882674706,49.6015833670788,"Spring"
300,47.2847390907211,0.0214779113963477,45.3313105816748,49.322345244115,"Summer"
300,45.4555213470499,0.0330606566989526,42.5973641851302,48.5054524019909,"Autumn"
300,42.677448494238,0.0330583352114471,39.9941536753384,45.5407714028325,"Winter"
311,46.452236466351,0.0298536579865373,43.8065034328977,49.2577609174194,"Spring"
311,47.016106952754,0.0206354482468247,45.1484292894297,48.9610457724236,"Summer"
311,45.1972812865847,0.0321383328595016,42.4321684406335,48.1425840528682,"Autumn"
311,42.4349911083573,0.0329281150597877,39.7771139953316,45.2704655892759,"Winter"
315,46.3560978907298,0.0296399041220432,43.7341998882363,49.1351806400129,"Spring"
315,46.9188013783073,0.0203534359044385,45.0799548700727,48.8326558693713,"Summer"
315,45.1037399939498,0.0318174069428291,42.3710523168174,48.0126702124502,"Autumn"
315,42.3471667125478,0.0329010362421961,39.6969018876547,45.1743698703603,"Winter"
371,45.0308635286866,0.0278503488979814,42.633525964514,47.5630064430283,"Spring"
371,45.5774803732697,0.0180993612218368,43.9855289321307,47.2270487046104,"Summer"
371,43.8143082079194,0.0282869641957339,41.4461754323257,46.3177502800728,"Autumn"
371,41.1365402142838,0.0336552796518835,38.5049510634757,43.9479831570688,"Winter"
404,44.2677329271145,0.0279411739815028,41.9035459636604,46.765306692798,"Spring"
404,44.8050863463767,0.01849876776747,43.2062020776904,46.4631387618041,"Summer"
404,43.0717943682976,0.0272176962537115,40.8294617875142,45.4372746758134,"Autumn"
404,40.4394060662717,0.0350421738030525,37.7494325521191,43.3210634553236,"Winter"
407,44.1990020263974,0.027992598735105,41.8342596423372,46.6974149137911,"Spring"
407,44.7355211408044,0.0185997041664977,43.1305668968367,46.4001981825594,"Summer"
407,43.0049203039015,0.0271629032530088,40.770457152613,45.3618453043613,"Autumn"
407,40.3766190966301,0.0351998739734679,37.6791482343129,43.2672033756253,"Winter"
417,43.9706687978348,0.0282149132464125,41.5999721344153,46.4764665774711,"Spring"
417,44.5044162401234,0.0190089126357623,42.8732770255411,46.1976131121076,"Summer"
417,42.7827557335068,0.0270332918762596,40.5701636884782,45.1160168395556,"Autumn"
417,40.1680324006845,0.0357611923932674,37.4431886468613,43.091170523953,"Winter"
447,43.292722222206,0.0293327444167706,40.8687397586008,45.8604744966392,"Spring"
447,43.8182402638364,0.0208410504048032,42.060604889851,45.6493239896934,"Summer"
447,42.1231245853238,0.0271397654395589,39.9362931247109,44.4297025587688,"Autumn"
447,39.5487154614541,0.0377518141438547,36.7220111326645,42.5930074744675,"Winter"
462,42.9576788226059,0.0301276023814095,40.4891880228128,45.576665276331,"Spring"
462,43.4791298677024,0.0220443403312623,41.6365660372372,45.4032335990879,"Summer"
462,41.7971327294546,0.0274690574066915,39.6016011470421,44.1143856258986,"Autumn"
462,39.2426470185871,0.0389032905228889,36.3554939575479,42.3590818714678,"Winter"
506,41.9897685857293,0.0332321519315074,39.3362778525878,44.8222547260432,"Spring"
506,42.4994704437558,0.0263702506773875,40.3540531270533,44.758948557482,"Summer"
506,40.85537158803,0.0294170661327104,38.5614700061876,43.2857302205588,"Autumn"
506,38.358442824774,0.0427837345940818,35.2664977357346,41.7214702454152,"Winter"
