"motherTesto","AGD.tail"
1.24,0.168082208705016
0.82,0.0277708680924498
0.25,-0.47378583497038
0.45,-0.17222913190755
0.93,0.12932757115528
1.1,-0.112540472520116
0.94,-0.0722291319075503
1.01,-0.0916064506824181
0.54,-0.451295110069852
0.49,-0.293163153745248
3.87,0.209950252380412
3.87,0.569638911767846
0.65,-0.391606450682418
0.87,-0.0319177912949842
1.24,0.22777086809245
1.32,-0.510983769457286
3.87,0.209950252380412
0.53,-0.191606450682418
0.36,-0.0125404725201163
1,-0.46911572578189
0.78,0.22932757115528
0.45,0.0293275711552803
0.56,-0.507870363331625
1.55,-0.37067242884472
0.78,0.32932757115528
1.02,-0.148181703944192
0.53,-0.430361088232154
0.79,0.22932757115528
1.32,-0.0109837694572859
1.01,0.0680822087050159
0.93,-0.210983769457286
0.66,-0.488493044556757
1.78,0.22777086809245
0.99,0.489016230542714
0.13,0.0502615929929781
1.01,0.147148186867318
0.65,0.0487048899301481
1.01,0.00839354931758195
0.76,-0.27067242884472
1.27,-0.191606450682418
0.74,0.250261592992978
0.66,0.290572933605544
0.88,0.0277708680924498
0.66,0.009950252380412
0.66,0.0680822087050159
0.67,-0.449738407007022
0.79,0.00839354931758195
0.66,-0.46911572578189
1.32,-0.46755902271906
1.16,0.369638911767846
0.94,-0.17067242884472
0.45,-0.233474494357814
0.82,-0.17067242884472
0.76,0.0293275711552803
0.34,-0.0884930445567576
0.71,0.292129636668374
0.61,0.23088427421811
0.37,0.0727523178935065
0.65,-0.0109837694572859
1.27,0.00683684625475188
0.76,-0.27067242884472
0.21,0.0711956148306764
0.66,-0.290049747619588
0.6,-0.0706724288447198
0.66,-0.548181703944192
0.66,-0.588493044556758
0.8,0.0471481868673176
0.82,-0.410983769457286
0.64,-0.36755902271906
0.65,-0.131917791294984
0.98,0.0890162305427142
1.27,0.168082208705016
0.35,-0.0109837694572859
0.66,0.190572933605544
0.83,-0.0109837694572859
0.76,-0.051295110069852
0.97,-0.112540472520116
0.8,-0.410983769457286
0.82,-0.291606450682418
1.32,-0.0706724288447198
0.45,-0.251295110069852
0.65,-0.151295110069852
0.35,-0.27222913190755
0.45,-0.231917791294984
0.88,0.108393549317582
0.59,0.0665255056421859
0.94,0.12932757115528
0.72,-0.190049747619588
0.93,-0.130361088232154
0.97,-0.230361088232154
1.75,0.209950252380412
0.64,-0.509427066394456
0.13,-0.128804385169324
1.27,0.0293275711552803
0.76,-0.0303610882321537
0.82,-0.207870363331626
0.35,0.0487048899301481
0.53,-0.00942706639445581
1.29,-0.110983769457286
1.08,0.0471481868673176
1.08,-0.0528518131326821
1.35,-0.352851813132682
2.92,0.605280143191922
0.94,-0.210983769457286
1.32,-0.391606450682418
0.25,-0.112540472520116
0.45,-0.0722291319075503
0.45,-0.37222913190755
1.65,-0.290049747619588
0.49,0.12621416502962
1.55,-0.433474494357814
0.37,-0.233474494357814
0.93,-0.130361088232154
0.93,-0.291606450682418
0.55,-0.212540472520116
0.55,-0.27067242884472
1.19,0.0680822087050159
0.91,-0.37222913190755
0.49,-0.554408516195513
0.98,-0.731917791294984
0.56,-0.428804385169324
1.16,-0.449738407007022
1.24,-0.690049747619588
0.53,-0.309427066394456
0.72,-0.335031197420644
0.54,-0.37222913190755
0.54,-0.0916064506824181
0.63,0.269638911767846
0.63,0.408393549317582
0.6,-0.16911572578189
0.72,-0.0691157257818898
0.72,-0.190049747619588
0.72,-0.0288043851693236
0.66,0.0874595274798837
0.66,-0.0528518131326821
0.72,0.0471481868673176
1.3,-0.451295110069852
1.2,-0.049738407007022
1.2,-0.230361088232154
0.65,-0.251295110069852
0.81,-0.431917791294984
1.22,-0.149738407007022
0.64,-0.248181703944192
0.64,-0.109427066394456
0.5,-0.190049747619588
1.08,-0.26911572578189
0.24,-0.17067242884472
0.24,-0.510983769457286
0.77,-0.349738407007022
0.76,-0.212540472520116
0.99,-0.351295110069852
0.99,0.12777086809245
1.32,-0.351295110069852
1.01,-0.291606450682418
1.01,0.0680822087050159
1.18,-0.0156538786457763
1.78,-0.0528518131326821
0.42,-0.0947198568080785
0.45,-0.349738407007022
0.45,-0.191606450682418
1.25,0.0293275711552803
0.62,-0.451295110069852
0.75,0.147148186867318
0.55,0.405280143191921
