"density","predicted","std.error","conf.low","conf.high","season"
40,0.214319112872626,0.037745411618897,0.140315857072776,0.288322368672477,"autumn"
40,0.115851529834318,0.0261482283433266,0.0645855892124028,0.167117470456233,"spring"
40,0.295931205684309,0.0295606660470327,0.237974875702274,0.353887535666344,"summer"
40,0.0931645786386903,0.0473800454183923,0.000271761458483788,0.186057395818897,"winter"
60,0.195596808402367,0.036483288816798,0.124068057252713,0.267125559552021,"autumn"
60,0.0971292253640582,0.0245877552486542,0.048922731828316,0.1453357188998,"spring"
60,0.27720890121405,0.0279815335778055,0.22234860169108,0.332069200737019,"summer"
60,0.0744422741684307,0.0465511494413944,-0.0168254183042595,0.165709966641121,"winter"
80,0.176874503932107,0.0352857758562555,0.107693584058939,0.246055423805276,"autumn"
80,0.0784069208937987,0.0230895413795676,0.0331378096633906,0.123676032124207,"spring"
80,0.25848659674379,0.0264545046422267,0.206620174041516,0.310353019446064,"summer"
80,0.0557199696981712,0.0457918297850088,-0.0340590086671539,0.145498948063496,"winter"
100,0.158152199461848,0.0341596683670081,0.0911791140514827,0.225125284872213,"autumn"
100,0.0596846164235391,0.0216665060484581,0.0172054932500529,0.102163739597025,"spring"
100,0.239764292273531,0.0249891328509693,0.190770862045288,0.288757722501774,"summer"
100,0.0369976652279116,0.0451056003848909,-0.0514358990153727,0.125431229471196,"winter"
120,0.139429894991588,0.0331122523907406,0.0745103622938862,0.20434942768929,"autumn"
120,0.0409623119532795,0.0203344387150234,0.00109482594020094,0.0808297979663581,"spring"
120,0.221041987803271,0.0235969077571461,0.174778139405779,0.267305836200763,"summer"
120,0.0182753607576521,0.0444958430348476,-0.0689627196581753,0.105513441173479,"winter"
140,0.120707590521329,0.0321512196364354,0.0576722485026675,0.18374293253999,"autumn"
140,0.02224000748302,0.0191123693361206,-0.0152315021988101,0.05971151716485,"spring"
140,0.202319683333011,0.0222915387767017,0.158615127586727,0.246024239079296,"summer"
140,-0.000446943712607493,0.0439657396043803,-0.0866457089353372,0.0857518215101222,"winter"
160,0.101985286051069,0.0312845319624663,0.0406491627422974,0.163321409359841,"autumn"
160,0.00351770301276042,0.0180226878046419,-0.0318173885547678,0.0388527945802886,"spring"
160,0.183597378862752,0.0210891606434489,0.14225019299924,0.224944564726264,"summer"
160,-0.019169248182867,0.0435182010291858,-0.104490573996674,0.0661520776309401,"winter"
180,0.0832629815808095,0.0305202278233455,0.0234253449036667,0.143100618257952,"autumn"
