"AGD.tail","Density.DOB","life.repro.success"
-0.252851813130098,87,0
0.49057293360549,87,0
-0.510983769457286,163,3
0.171195614830677,82,0
1.43088427421811,65,0
1.14870488993015,52,0
0.650261592992978,65,0
0.42932757115528,52,0
0.52777086809245,65,0
0.309950252380412,81,0
-0.212540472520116,81,0
0.701039944524393,65,0
0.108393549317582,52,0
1.33088427421811,52,7
-0.239271396088173,81,0
1.14870488993015,52,12
0.960728603911828,52,6
0.750261592992978,95,11
1.11886056023643,82,12
-0.0319177912949842,65,5
0.178549219623865,100,3
1.24870488993015,84,28
0.875435813498204,52,1
0.893686339731205,81,0
0.962285306974658,81,22
1.02621416502962,52,24
0.709950252380412,90,24
0.368082208705016,81,0
1.14870488993015,90,18
0.82932757115528,52,20
0.0591719008489972,90,12
0.769638911767846,95,23
1.32932757115528,90,3
0.169638911767846,93,12
0.960728603911828,82,14
0.272752317893506,82,22
1.39212963666837,82,6
1.74714818686732,65,17
0.448704889930148,52,27
0.190572933605544,90,14
0.92932757115528,82,0
0.793686339731205,82,18
0.397926538398733,65,8
0.301039944524393,89,13
-0.351295110069852,160,4
0.690572933605544,95,2
0.269638911767846,82,0
0.0696389117678459,84,0
0.211506955443242,95,6
0.209950252380412,95,1
1.30103994452439,147,4
0.72932757115528,89,11
0.992129636668375,82,8
0.839794582074129,95,13
0.190572933605544,90,17
0.557615197786167,95,0
-0.0900497476195877,90,17
0.347148186867318,95,0
0.33088427421811,82,6
-0.497403352412777,95,0
1.06072860391183,95,8
0.551818296055809,82,8
0.441351285136959,84,0
0.471195614830676,82,0
-0.140828099151003,100,6
-0.590049747619588,160,0
0.553374999118639,90,20
0.248704889930148,84,0
0.32932757115528,82,8
-0.109427066394456,100,0
0.760728603911828,95,0
0.150261592992978,82,1
0.390572933605544,90,13
0.880105922686695,93,17
0.809950252380412,90,21
1.06228530697466,82,29
0.190572933605544,95,1
0.950261592992978,93,0
0.989016230542714,90,8
0.709950252380412,82,6
0.0905729336055443,95,2
1.10839354931758,52,17
0.411506955443242,89,16
0.0696389117678459,100,3
-0.428804385169324,100,8
0.299483241461563,95,6
0.0890162305427142,100,8
0.818860560236431,95,1
0.248704889930148,100,0
-0.0721431498033576,95,9
1.09057293360554,95,3
-1.12880438516932,160,0
-0.128804385169324,82,12
0.72932757115528,90,11
0.139794582074129,89,0
-0.0989600554756067,163,4
-0.888493044556757,163,0
0.23088427421811,87,0
-0.360205417925871,163,8
0.789016230542714,160,8
-0.100516758538437,160,9
0.221973966362091,155,0
-0.693163153745248,87,0
0.201039944524394,87,8
0.101039944524393,87,0
-0.340828099151003,87,0
0.241351285136959,87,0
-0.66911572578189,155,5
-0.567559022719059,147,33
-0.428804385169324,150,10
-0.079582736700739,155,2
-0.128804385169324,138,6
0.862285306974657,87,0
-0.390049747619588,155,1
-0.230361088232154,155,18
-0.406313660268795,138,3
0.251818296055808,87,0
-0.282696142826399,87,0
-0.558648714863041,87,17
0.0696389117678459,163,0
-0.623007483438965,87,0
0.709950252380412,160,0
0.192129636668374,87,0
-0.0780260336379085,87,24
0.14135128513696,87,0
0.769638911767846,160,0
-0.849738407007022,87,0
0.151818296055808,87,2
