"LC.MS.run","focal_ID","Cort_pg.mg","Age","Season","Density","log_Cort_pg.mg"
"3_812","'00075A8CB4",93.1,698,"Spring",311,4.53367418428302
"3_812","'0007B0FEE6",42.77,184,"Spring",311,3.75583692223882
"3_812","'00079992BF",36.94,244,"Spring",311,3.60929497477109
"3_812","'0007B11F2A",39.96,187,"Spring",311,3.68787895378035
"3_812","'0007B0064E",40.18,377,"Spring",311,3.69336935938679
"3_812","'0007B00798",43.42,341,"Spring",311,3.77092016445015
"3_812","'0007B04AA1",52.92,228,"Spring",311,3.96878133924676
"3_812","'0007B10168",63.5,231,"Spring",311,4.15103990589865
"3_812","'0007B0FEE1",65.45,230,"Spring",311,4.18128649235591
"3_812","'0007B0CF32",47.09,431,"Spring",311,3.85206066425546
"3_812","'0007B12005",31.32,233,"Summer",311,3.4442568711226
"3_812","'0007B04CCC",38.45,237,"Summer",311,3.64935869595165
"3_812","'0007B0CBEF",37.8,303,"Summer",311,3.63230910262554
"3_812","'0007B11E13",86.83,327,"Summer",311,4.46395218407255
"3_812","'0007B0FD8C",33.91,238,"Summer",311,3.52370995613755
"3_812","'0007B0CEE6",52.92,327,"Summer",311,3.96878133924676
"3_812","'0007B0D1FA",57.24,328,"Summer",311,4.04725295468825
"3_812","'0007B0D1E0",57.67,96,"Summer",311,4.05473710762732
"3_812","'0007B0FEE3",51.41,100,"Summer",311,3.93983270606741
"3_812","'00079AA8DB",23.11,406,"Summer",311,3.14026542428629
"3_812","'0007B045FE",32.62,143,"Summer",311,3.48492559719287
"3_812","'0007B0FB57",34.34,248,"Summer",311,3.53631085546933
"3_812","'00079A964B",85.54,417,"Summer",311,4.44898410279876
"3_812","'000799CD8C",35.42,437,"Summer",311,3.56727663235469
"3_812","'0007B04894",33.91,91,"Summer",311,3.52370995613755
"3_812","'0007B0FE51",33.7,95,"Summer",311,3.51749783735832
"3_812","'0007B0FFDC",33.91,95,"Summer",311,3.52370995613755
"3_812","'0007B046D7",46.22,94,"Summer",311,3.83341260484623
"3_812","'0007B0FD73",34.13,96,"Summer",311,3.53017676291862
"3_812","'0007B11F12",32.4,96,"Summer",311,3.47815842279828
"3_812","'0007B0FBC5",43.42,242,"Summer",311,3.77092016445015
"3_812","'0007B11C10",33.7,94,"Summer",311,3.51749783735832
"3_812","'0007B101CE",69.98,94,"Summer",311,4.24820948693954
"3_812","'0007B10326",34.78,242,"Summer",311,3.54904250892614
"3_812","'0007B0197D",42.98,431,"Summer",311,3.76073489121436
"3_812","'0007B1206B",61.13,97,"Summer",311,4.11300274404063
"3_812","'0007B101ED",37.58,93,"Summer",311,3.62647199398532
"3_812","'0007B0FE55",35.86,146,"Summer",311,3.57962246817699
"3_812","'00079A2ADC",59.62,396,"Summer",311,4.08799108824993
"3_812","'0007B047DD",61.56,95,"Summer",311,4.12001230897068
"3_812","'0007ABCD2F",59.62,436,"Summer",311,4.08799108824993
"4_812","'0007B0D2BA",45.56,203,"Winter",207,3.81903013857898
"4_812","'0007B0FF0C",51.64,201,"Winter",207,3.94429656597844
"4_812","'0007B0FEF6",35.03,205,"Winter",207,3.5562048372094
"4_812","'0007B0FE95",41.51,142,"Winter",207,3.72593436206495
"4_812","'0007B12147",48.8,201,"Winter",207,3.8877303128591
"4_812","'0007B121E8",33.21,141,"Winter",207,3.50285103538866
"4_812","'0007B100AF",34.63,338,"Winter",207,3.54472035841433
"4_812","'0007B10040",36.45,145,"Winter",207,3.59594145845467
"4_812","'0007B11DB9",37.67,143,"Winter",207,3.62886402170395
"4_812","'0007B10235",48.2,145,"Winter",207,3.87535902105655
"4_812","'0007B0FBAB",40.3,145,"Winter",207,3.69635146895264
"4_812","'0007B11B79",52.04,198,"Winter",207,3.9520126536443
"4_812","'0007B11F6D",50.02,160,"Summer",252,3.91242292544947
"4_812","'0007B11F18",58.93,161,"Summer",252,4.07635029884982
"4_812","'0007B0FF43",35.24,160,"Summer",252,3.56218180106798
"4_812","'00079A5EAE",70.47,487,"Summer",252,4.25518708733893
"4_812","'0007B11E9C",62.57,318,"Summer",252,4.13628593001027
"4_812","'0007B11BE3",58.32,314,"Summer",252,4.0659450877004
"4_812","'0007B0CEE6",68.45,407,"Summer",252,4.22610355173446
"4_812","'0007B0FD8C",44.96,318,"Summer",252,3.80577320558544
"4_812","'0007B11B69",56.5,144,"Summer",252,4.0342406381524
"4_812","'0007B120E8",36.05,151,"Summer",252,3.58490686373096
"4_812","'0007B10102",36.25,124,"Summer",252,3.59043938130068
"4_812","'0007B11DF4",70.27,123,"Summer",252,4.25234496520411
"4_812","'0007B9B1CE",38.48,125,"Summer",252,3.65013862579751
"4_812","'0007B11BED",42.12,151,"Summer",252,3.74052268726577
"4_812","'0007B12103",56.3,128,"Summer",252,4.03069453514564
"4_812","'0007ABA10E",69.26,407,"Summer",252,4.23786753897428
"4_812","'00079A1B9A",47.39,522,"Summer",252,3.8584112359795
"4_812","'00079A6412",67.64,487,"Summer",252,4.21419952403038
"4_812","'0007B0FEE6",30.98,319,"Summer",252,3.43334183498872
"4_812","'0007B11D82",52.04,319,"Summer",252,3.9520126536443
"4_812","'0007ABE022",60.99,461,"Summer",252,4.11070991630837
"4_812","'0007B0FE51",54.68,175,"Summer",252,4.00149801185575
"4_812","'0007B0D042",42.93,166,"Summer",252,3.75957088223647
"4_812","'0007B0FEB7",40.91,180,"Summer",252,3.71137453194131
"4_812","'00079A8C6E",69.46,532,"Summer",252,4.24075104731593
"4_812","'0007B122B0",79.99,171,"Summer",252,4.38190162686073
"4_812","'0007B04894",36.45,171,"Summer",252,3.59594145845467
"4_812","'0007B11F12",25.11,176,"Summer",252,3.22326617316949
"4_812","'0007B0FD73",28.96,176,"Summer",252,3.36591556751752
"4_812","'0007B1206B",44.35,177,"Summer",252,3.79211270875559
"4_812","'0007B04B55",43.74,153,"Summer",252,3.77826301524862
