"agd_tail","predicted","conf.low","conf.high"
-1.53,1.52025244572529,1.24497646402034,1.79552842743023
-1.439,1.53992031884098,1.27706914890132,1.80277148878064
-1.387,1.55129358575839,1.29537166316678,1.80721550835
-1.32,1.56609347319745,1.31812930067239,1.81405764572251
-1.278,1.57545551703895,1.33312835401034,1.81778268006756
-1.268,1.57769423646436,1.3367254619536,1.81866301097512
-1.25,1.58173333164669,1.34322315477128,1.8202435085221
-1.241,1.58375742071968,1.34648307585769,1.82103176558168
-1.23,1.58623542759703,1.35047748232,1.82199337287406
-1.209,1.59097878185645,1.3581468732588,1.82381069045409
-1.208,1.59120506957257,1.35849618884379,1.82391395030136
-1.199,1.59324335432978,1.36164315546447,1.82484355319509
-1.169,1.60005972446442,1.37218382721786,1.82793562171099
-1.168,1.60028752331812,1.37253645882451,1.82803858781172
-1.153,1.60370905838926,1.37814533338648,1.82927278339205
-1.138,1.60713914352257,1.38419032170947,1.83008796533567
-1.13,1.60897202559679,1.38743097094955,1.83051308024402
-1.129,1.60920130744112,1.38783649280828,1.83056612207396
-1.12,1.61126656158948,1.39149060313242,1.83104252004653
-1.099,1.616097531293,1.39976864695221,1.83242641563379
-1.072,1.62233363072702,1.40957844672017,1.83508881473387
-1.071,1.62256513576085,1.40994309770895,1.83518717381274
-1.068,1.62325988199341,1.41106360421197,1.83545615977485
-1.05,1.62743564882841,1.4176141304818,1.83725716717501
-1.048,1.62790039526605,1.41833261738987,1.83746817314223
-1.039,1.62999366883737,1.42132089608058,1.83866644159416
-1.038,1.63022644831144,1.42164784380913,1.83880505281375
-1.03,1.63209007883905,1.42435453003169,1.83982562764642
-1.029,1.63232320709271,1.4246978176998,1.83994859648563
-1.026,1.6330228245907,1.42572144558651,1.84032420359489
-1.02,1.63442310747886,1.42774166608411,1.84110454887362
-1.009,1.63699392557598,1.43145262067358,1.84253523047839
-1.008,1.63722786966373,1.43179044390177,1.84266529542569
-1.001,1.63886656838957,1.43415737346753,1.84357576331161
-0.999,1.63933511861111,1.43483433608148,1.84383590114074
-0.996,1.64003823629073,1.43585036135403,1.84422611122744
-0.993,1.64074170494135,1.43686708464761,1.84461632523509
-0.992,1.64097627251511,1.43720614760557,1.84474639742466
-0.99,1.64144552473655,1.43788450641149,1.8450065430616
-0.976,1.64473466513048,1.44302043560838,1.84644889465258
-0.972,1.64567582727441,1.44450115296962,1.84685050157921
-0.971,1.64591121567258,1.44487153586086,1.8469508954843
-0.969,1.6463821099487,1.44561254602332,1.84715167387409
-0.968,1.64661761583956,1.44594074063361,1.84729449104552
-0.962,1.64803147413068,1.44787939407288,1.84818355418848
-0.959,1.64873893260361,1.44884987736776,1.84862798783945
-0.951,1.65062721535827,1.45144637977823,1.84980805093831
-0.95,1.65086342742633,1.45177127902299,1.84995557582967
-0.948,1.65133596944948,1.45248650299518,1.85018543590378
-0.942,1.65275453908141,1.45470199273313,1.85080708542968
-0.939,1.65346435497202,1.45579297852019,1.85113573142386
-0.938,1.65370103898984,1.45615008401199,1.85125199396769
-0.93,1.65559592904367,1.45901157683246,1.85218028125489
-0.929,1.65583296763668,1.45936984263454,1.85229609263882
-0.927,1.65630716311831,1.46008661247772,1.8525277137589
-0.918,1.65844299595027,1.46331869503951,1.85356729686102
-0.914,1.6593932817368,1.46475996189479,1.8540266015788
-0.913,1.65963095198533,1.46512047793346,1.85414142603719
-0.911,1.66010641109024,1.46584174931166,1.85437107286882
-0.909,1.66058202838239,1.46656333986349,1.85460071690129
-0.893,1.66439266771901,1.47234756978002,1.856437765658
-0.89,1.66510829221929,1.47343439319302,1.85678219124557
-0.888,1.66558557362785,1.47415934274559,1.85701180451011
-0.883,1.66677947195997,1.47597311969411,1.85758582422583
-0.881,1.66725730935447,1.47670006662359,1.85781455208536
-0.88,1.66749628766254,1.4770637090193,1.85792886630578
-0.874,1.66893099247493,1.47924725451053,1.85861473043932
