"AGD.tail","life.repro.success"
-0.252851813130098,0
0.49057293360549,0
-0.510983769457286,3
0.171195614830677,0
1.43088427421811,0
1.14870488993015,0
0.650261592992978,0
0.42932757115528,0
0.52777086809245,0
0.309950252380412,0
-0.212540472520116,0
0.701039944524393,0
0.108393549317582,0
1.33088427421811,7
-0.239271396088173,0
1.14870488993015,12
0.960728603911828,6
0.750261592992978,11
1.11886056023643,12
-0.0319177912949842,5
0.178549219623865,3
1.24870488993015,28
0.875435813498204,1
0.893686339731205,0
0.962285306974658,22
1.02621416502962,24
0.709950252380412,24
0.368082208705016,0
1.14870488993015,18
0.82932757115528,20
0.0591719008489972,12
0.769638911767846,23
1.32932757115528,3
0.169638911767846,12
0.960728603911828,14
0.272752317893506,22
1.39212963666837,6
1.74714818686732,17
0.448704889930148,27
0.190572933605544,14
0.92932757115528,0
0.793686339731205,18
0.397926538398733,8
0.301039944524393,13
-0.351295110069852,4
0.690572933605544,2
0.269638911767846,0
0.0696389117678459,0
0.211506955443242,6
0.209950252380412,1
1.30103994452439,4
0.72932757115528,11
0.992129636668375,8
0.839794582074129,13
0.190572933605544,17
0.557615197786167,0
-0.0900497476195877,17
0.347148186867318,0
0.33088427421811,6
-0.497403352412777,0
1.06072860391183,8
0.551818296055809,8
0.441351285136959,0
0.471195614830676,0
-0.140828099151003,6
-0.590049747619588,0
0.553374999118639,20
0.248704889930148,0
0.32932757115528,8
-0.109427066394456,0
0.760728603911828,0
0.150261592992978,1
0.390572933605544,13
0.880105922686695,17
0.809950252380412,21
1.06228530697466,29
0.190572933605544,1
0.950261592992978,0
0.989016230542714,8
0.709950252380412,6
0.0905729336055443,2
1.10839354931758,17
0.411506955443242,16
0.0696389117678459,3
-0.428804385169324,8
0.299483241461563,6
0.0890162305427142,8
0.818860560236431,1
0.248704889930148,0
-0.0721431498033576,9
1.09057293360554,3
-1.12880438516932,0
-0.128804385169324,12
0.72932757115528,11
0.139794582074129,0
-0.0989600554756067,4
-0.888493044556757,0
0.23088427421811,0
-0.360205417925871,8
0.789016230542714,8
-0.100516758538437,9
0.221973966362091,0
-0.693163153745248,0
0.201039944524394,8
0.101039944524393,0
-0.340828099151003,0
0.241351285136959,0
-0.66911572578189,5
-0.567559022719059,33
-0.428804385169324,10
-0.079582736700739,2
-0.128804385169324,6
0.862285306974657,0
-0.390049747619588,1
-0.230361088232154,18
-0.406313660268795,3
0.251818296055808,0
-0.282696142826399,0
-0.558648714863041,17
0.0696389117678459,0
-0.623007483438965,0
0.709950252380412,0
0.192129636668374,0
-0.0780260336379085,24
0.14135128513696,0
0.769638911767846,0
-0.849738407007022,0
0.151818296055808,2
0.820417263299261,13
0.0308842742181103,0
1.39212963666837,0
-0.297403352412776,5
