"agd_tail","predicted","std.error","conf.low","conf.high","density"
-1.53,0.435244896446731,0.125733841906321,0.375916497267884,0.496487673435193,"148.4"
-1.53,0.394794378908002,0.108060157851627,0.345473254848717,0.446354976503692,"257.5"
-1.53,0.355735229001834,0.175592818389393,0.281288607372778,0.437880735633134,"366.6"
-1.439,0.434135314456275,0.119701080846629,0.377632673507663,0.492403359404885,"148.4"
-1.439,0.399230260388796,0.102364923439486,0.352217764191592,0.448176325825325,"257.5"
-1.439,0.365319810984391,0.165616357615973,0.293810178178137,0.443308336753632,"366.6"
-1.387,0.4335015631493,0.11628235548768,0.378601555161274,0.490083877803294,"148.4"
-1.387,0.401772544260876,0.0991404863264002,0.356085127622145,0.44923226429001,"257.5"
-1.387,0.370845591307136,0.159947337735375,0.301096482370379,0.446431406419006,"366.6"
-1.32,0.432685319820505,0.1119118704508,0.379835463276504,0.487112808368572,"148.4"
-1.32,0.40505596595646,0.0950224799336306,0.36107930247878,0.450611211622488,"257.5"
-1.32,0.378015312637451,0.152682253571984,0.310617827619678,0.450480603376173,"366.6"
-1.278,0.432173830872625,0.109193822850965,0.380599744107393,0.485261401565836,"148.4"
-1.278,0.40711859055118,0.0924642808298688,0.364214900040971,0.451487293841002,"257.5"
-1.278,0.382537343858102,0.148153201987938,0.316659274037584,0.453034518935151,"366.6"
-1.268,0.432052069060251,0.108549303791863,0.380780585354913,0.484821938133347,"148.4"
-1.268,0.407610177544391,0.0918580340732503,0.364961891301435,0.451697311982529,"257.5"
-1.268,0.383617055287246,0.147077966424021,0.318105655568516,0.453644474594024,"366.6"
-1.25,0.431832918497233,0.107391830935236,0.38110495257721,0.484032266313511,"148.4"
-1.25,0.408495499710432,0.0907696797472852,0.366306798788553,0.452076790932469,"257.5"
-1.25,0.385563424501721,0.14514571318279,0.320716638293004,0.454744285273568,"366.6"
-1.241,0.431723353216933,0.106814406289853,0.381266569478446,0.483638102130211,"148.4"
-1.241,0.408938383895787,0.0902269304468615,0.366979386059631,0.452267244596401,"257.5"
-1.241,0.386537987641017,0.144181157443292,0.322025690508982,0.455295120482412,"366.6"
-1.23,0.431589449170877,0.106109879974252,0.381463575115169,0.483156968224327,"148.4"
-1.23,0.409479887495685,0.0895648959925663,0.367801536818026,0.452500684043932,"257.5"
-1.23,0.387730355138525,0.143003718691765,0.323628816388151,0.455969223120167,"366.6"
-1.209,0.431333841956701,0.104768679177449,0.381838025222107,0.482240388883507,"148.4"
-1.209,0.410514275938374,0.0883051748528995,0.369371329657238,0.452948420796672,"257.5"
-1.209,0.39001042068841,0.140760488231585,0.326698850479088,0.457258833319865,"366.6"
-1.208,0.431321671095865,0.104704939516022,0.381855800911153,0.482196807351253,"148.4"
-1.208,0.410563552351733,0.0882453274734516,0.369446087362543,0.452969811171399,"257.5"
-1.208,0.390119116106334,0.140653822344319,0.32684534967055,0.457320332965291,"366.6"
-1.199,0.431212137082836,0.104131812152521,0.382015551296448,0.481804844979293,"148.4"
-1.199,0.411007120728051,0.0877072831573341,0.370118922273057,0.453162615070922,"257.5"
-1.199,0.391097864823381,0.139694476835311,0.328165080617491,0.457874203098173,"366.6"
-1.169,0.430847072364646,0.102228443584804,0.382544970081115,0.480501920265134,"148.4"
-1.169,0.412486723295081,0.0859215796666565,0.372361775878218,0.45380917432094,"257.5"
-1.169,0.394366653919938,0.136505338319789,0.332579968973575,0.459725406879995,"366.6"
-1.168,0.43083490483287,0.102165189564884,0.382562533480611,0.480458587648185,"148.4"
-1.168,0.41253607077948,0.0858622680060306,0.372436535969902,0.453830831881726,"257.5"
-1.168,0.394475778280107,0.136399270852967,0.332727541740269,0.459787248554345,"366.6"
-1.153,0.430652401886057,0.10121790528588,0.382825314587955,0.479809380553627,"148.4"
-1.153,0.413276493456914,0.0849742854451718,0.373557891567697,0.454156538481217,"257.5"
-1.153,0.396113900838602,0.134810161338746,0.334944229141517,0.460715947666089,"366.6"
-1.138,0.430469917777991,0.100273538117826,0.383086812996529,0.479161668516213,"148.4"
-1.138,0.414017308492006,0.0840895452307591,0.374679118741775,0.454483859876204,"257.5"
-1.138,0.397754357518689,0.133224706878896,0.337166621347168,0.461646700001374,"366.6"
-1.13,0.430372600639753,0.0997710970141267,0.383225740669276,0.478816847995918,"148.4"
-1.13,0.414412569188632,0.0836190450936345,0.375277032267154,0.45465910893631,"257.5"
-1.13,0.398630210547481,0.13238067103439,0.338354178760594,0.46214396120971,"366.6"
-1.129,0.43036043637556,0.09970835252167,0.383243079874506,0.4787737765056,"148.4"
-1.129,0.414461984536138,0.083560300288095,0.375351767136444,0.454681048765046,"257.5"
-1.129,0.398739737931599,0.132275243316051,0.338502733429049,0.462206161575214,"366.6"
-1.12,0.430250961782504,0.0991442654526743,0.383398861884966,0.478386447351636,"148.4"
-1.12,0.414906800015652,0.0830322827766924,0.376024332502021,0.454878848401295,"257.5"
-1.12,0.399725939237449,0.131327172565058,0.33984081312145,0.462766397024673,"366.6"
-1.099,0.429995547604016,0.0978324410111675,0.383760416729059,0.477484922371033,"148.4"
-1.099,0.415945241218862,0.0818051486668062,0.37759324792593,0.455342821240082,"257.5"
-1.099,0.402030226806693,0.129120596225358,0.342970462440443,0.464076700614588,"366.6"
-1.072,0.429667212713259,0.0961551504616334,0.384221130256716,0.476330601838241,"148.4"
-1.072,0.417281475964927,0.0802379172073962,0.37960934234053,0.455944582555317,"257.5"
-1.072,0.404999240115124,0.126295611150192,0.347009065565613,0.465767975840146,"366.6"
