"LC.MS.run","External.ID2","BarnID","focal_ID","hairDate","Testo_pg.mg","Prog_pg.mgSE","Cort_pg.mg","AEA.pg.mg","AG2.pg.mg","OEA.ng.mg","A.ng.mg","PEA.ng.mg","AGD","weight","tail","hairDateMIN30d","DOB","sex","Age","Season","closestPopCheck_hairSampling","Density","Females.at.hairSampling","closestDateHandling","weight.at.hair"
"1_775",28,"'0007B0CFCA","'0007B0CFCA",2017-12-28,0.93,4.13,48.97,28.8,17.89,2.02,1.66,2.75,"2.9","5.1","45",2017-11-28,17268,"F",260,"Autumn",2017-12-08,407,242,NA,NA
"1_775",29,"'00079A7E72","'00079A7E72",2017-12-29,2.27,2.17,62.82,21.57,12.6,1.75,1.85,2.51,"5.5","5.4","46",2017-11-29,17296,"M",233,"Autumn",2017-12-08,407,242,NA,NA
"1_775",30,"'00079AF73D","'00079AF73D",2017-12-25,0.78,4.36,34.66,28.27,24.07,1.94,1.34,2.35,NA,"5.6",NA,2017-11-25,NA,"F",NA,"Autumn",2017-12-08,407,242,NA,NA
"1_775",31,"'00079AA7E3","'00079AA7E3",2017-05-17,1.07,2.34,30.96,28,55.54,1.94,1.56,2.05,NA,NA,NA,2017-04-17,17278,"F",25,"Spring",2017-05-26,300,200,NA,NA
"1_775",32,"'000799BC32","'000799BC32",2017-05-17,0.81,2.43,37.13,59.35,57.85,4.01,2.35,3.73,NA,NA,NA,2017-04-17,17278,"F",25,"Spring",2017-05-26,300,200,NA,NA
"1_775",33,"'000799F088","'000799F088",2017-05-17,1.37,2.32,36.93,32.6,38.73,2.53,1.91,2.92,"4.1","4.7","21",2017-04-17,17251,"M",52,"Spring",2017-05-26,300,200,NA,NA
"1_775",34,"'00079AD14B","'00079AD14B",2017-05-17,NA,NA,NA,NA,NA,NA,NA,NA,"4.8","6","47",2017-04-17,17268,"M",35,"Spring",2017-05-26,300,200,NA,NA
"1_775",35,"'000799DD1F","'000799DD1F",2017-05-17,1.2,2.38,37.81,32.21,30.7,1.92,2.32,2.55,NA,NA,NA,2017-04-17,17278,"F",25,"Spring",2017-05-26,300,200,NA,NA
"1_775",36,"'00079A7D0E","'00079A7D0E",2017-05-17,0.79,1.84,29.86,30.85,50.11,1.82,1.79,2.23,"4.3","4","35",2017-04-17,17262,"M",41,"Spring",2017-05-26,300,200,NA,NA
"1_775",37,"'0007997352","'0007997352",2017-05-17,1.02,2.38,24.53,25.78,51.41,1.66,0.6,1.56,NA,NA,NA,2017-04-17,17278,"F",25,"Spring",2017-05-26,300,200,NA,NA
"1_775",38,"'00079B0391","'00079B0391",2017-05-17,1.01,2.24,44.2,46.34,74.64,2.66,1.52,2.54,NA,"17.9",NA,2017-04-17,NA,"M",NA,"Spring",2017-05-26,300,200,NA,NA
"1_775",39,"'000799908C","'000799908C",2017-05-17,0.95,3.32,38.91,34.8,70.63,2.73,1.11,2.25,"1.9","2.9","27",2017-04-17,17259,"F",44,"Spring",2017-05-26,300,200,NA,NA
"1_775",40,"'000799D5C7","'000799D5C7 ",2017-05-05,1.03,2.56,29.55,35.28,45.63,2.29,1.78,2.51,NA,NA,NA,2017-04-05,17278,"F",13,"Spring",2017-02-27,311,177,NA,NA
"1_775",41,"'00079AEDC2","'00079AEDC2",2017-05-19,3.53,8.54,50.07,NA,NA,NA,NA,NA,"4.5","4.5","36",2017-04-19,17252,"M",53,"Spring",2017-05-26,300,200,NA,NA
"1_775",42,"'00079A826F","'00079A826F",2017-05-19,1.24,4.48,34.02,NA,NA,NA,NA,NA,"2.8","5.9","40",2017-04-19,16993,"F",312,"Spring",2017-05-26,300,200,NA,NA
"1_775",43,"'00079A826E","'00079A826E",2017-05-19,0.9,2.61,29.16,18.76,19.75,1.99,1.85,2.51,"3.7","3","28",2017-04-19,17260,"M",45,"Spring",2017-05-26,300,200,NA,NA
"1_775",44,"'00079A3685","'00079A3685",2017-05-19,NA,NA,NA,0,0,0,0,0,"4.5","4.4","38",2017-04-19,17259,"M",46,"Spring",2017-05-26,300,200,NA,NA
"1_775",45,"'00079AA52D","'00079AA52D",2017-05-19,1,3.22,38.68,30.09,62.03,3.13,1.91,3.13,"3.3","3.1","29",2017-04-19,17259,"M",46,"Spring",2017-05-26,300,200,NA,NA
"1_775",46,"'00079AD6D2","'00079AD6D2",2017-05-19,0.9,2.92,51.23,NA,NA,NA,NA,NA,"2.1","3.1","30",2017-04-19,17260,"F",45,"Spring",2017-05-26,300,200,NA,NA
"1_775",47,"'00079A5012","'00079A5012",2017-05-19,0.89,2.71,30.58,35.39,53.45,3.01,1.79,3.2,"2.4","5.5","39",2017-04-19,17259,"F",46,"Spring",2017-05-26,300,200,NA,NA
"1_775",48,"'00079986A1","'00079986A1",2017-05-19,1.12,2.96,42.12,36.94,52.35,2.93,1.97,3.18,"3.7","4.8","43",2017-04-19,17255,"M",50,"Spring",2017-05-26,300,200,NA,NA
"1_775",49,"'000799B2D9","'000799B2D9",2017-05-19,1.23,3.34,31.79,NA,NA,NA,NA,NA,"5.2","6.8","48",2017-04-19,17267,"M",38,"Spring",2017-05-26,300,200,NA,NA
