"motherCort","AGD.tail"
52.25,0.168082208705016
45.36,0.0277708680924498
41.9,-0.47378583497038
40.18,-0.17222913190755
78.84,0.12932757115528
79.99,-0.112540472520116
106.49,-0.0722291319075503
64.54,-0.0916064506824181
54.47,-0.451295110069852
77.33,-0.293163153745248
53.06,0.209950252380412
53.06,0.569638911767846
36.94,-0.391606450682418
82.73,-0.0319177912949842
52.25,0.22777086809245
40.99,-0.151295110069852
45.56,-0.510983769457286
53.06,0.209950252380412
71.93,-0.191606450682418
42.77,-0.0125404725201163
51.62,-0.46911572578189
34.66,0.22932757115528
40.91,0.0293275711552803
36.05,-0.507870363331625
74.74,-0.37067242884472
34.66,0.32932757115528
50.98,-0.148181703944192
71.93,-0.430361088232154
47.85,0.22932757115528
48.2,-0.0109837694572859
30.17,0.0680822087050159
45.59,-0.210983769457286
43.13,-0.488493044556757
27.65,0.22777086809245
60.75,0.489016230542714
58.52,0.0502615929929781
35.22,-0.27222913190755
30.17,0.147148186867318
22.54,0.0487048899301481
30.17,0.00839354931758195
85.65,-0.27067242884472
47.55,-0.191606450682418
51.27,0.250261592992978
57.31,0.290572933605544
73.02,0.0277708680924498
43.13,0.009950252380412
43.13,0.0680822087050159
46.05,-0.449738407007022
48.46,0.00839354931758195
43.13,-0.46911572578189
52.04,-0.46755902271906
77.96,0.169638911767846
57.92,0.369638911767846
63.06,-0.17067242884472
50.32,-0.233474494357814
45.36,-0.17067242884472
85.65,0.0293275711552803
44.96,-0.0884930445567576
47.99,0.292129636668374
79.58,0.23088427421811
42.68,0.0727523178935065
33.56,-0.0109837694572859
47.55,0.00683684625475188
85.65,-0.27067242884472
54.07,0.0711956148306764
43.13,-0.290049747619588
42.12,-0.0706724288447198
43.13,-0.548181703944192
43.13,-0.588493044556758
44.16,0.0471481868673176
45.36,-0.410983769457286
51.44,-0.36755902271906
41.25,-0.131917791294984
54.19,0.0890162305427142
47.55,0.168082208705016
59.13,-0.0109837694572859
57.31,0.190572933605544
42.12,-0.0109837694572859
85.65,-0.051295110069852
43.92,-0.112540472520116
44.16,-0.410983769457286
56.7,-0.328804385169323
46.33,-0.291606450682418
48.2,-0.0706724288447198
33.52,-0.251295110069852
22.54,-0.151295110069852
40.5,-0.27222913190755
33.52,-0.231917791294984
73.02,0.108393549317582
66.8,0.0665255056421859
63.06,0.12932757115528
62.57,-0.190049747619588
35.22,0.0277708680924498
45.59,-0.130361088232154
43.92,-0.230361088232154
43.54,0.209950252380412
51.44,-0.509427066394456
58.52,-0.128804385169324
47.55,0.0293275711552803
85.65,-0.0303610882321537
46.33,-0.207870363331626
59.13,0.0487048899301481
69.26,-0.00942706639445581
33.21,-0.110983769457286
34.22,0.0471481868673176
34.22,-0.0528518131326821
75.94,-0.352851813132682
35.03,0.605280143191922
106.49,-0.210983769457286
45.56,-0.391606450682418
41.9,-0.112540472520116
40.18,-0.0722291319075503
40.18,-0.37222913190755
52.27,-0.290049747619588
77.33,0.12621416502962
74.74,-0.433474494357814
48.6,-0.233474494357814
78.84,-0.130361088232154
78.84,-0.291606450682418
41.26,-0.212540472520116
41.26,-0.27067242884472
45.36,0.0680822087050159
52.7,-0.37222913190755
77.33,-0.554408516195513
43.42,-0.731917791294984
36.05,-0.428804385169324
57.92,-0.449738407007022
92.75,-0.690049747619588
69.26,-0.309427066394456
60.95,-0.335031197420644
54.47,-0.37222913190755
54.47,-0.0916064506824181
39.49,0.269638911767846
39.49,0.408393549317582
42.12,-0.16911572578189
62.57,-0.0691157257818898
62.57,-0.190049747619588
62.57,-0.0288043851693236
43.13,0.0874595274798837
43.13,-0.0528518131326821
60.95,0.0471481868673176
40.99,0.0277708680924498
52.42,-0.451295110069852
59.83,-0.049738407007022
59.83,-0.230361088232154
33.56,-0.251295110069852
46.51,-0.431917791294984
41.47,-0.149738407007022
51.44,-0.248181703944192
51.44,-0.109427066394456
32.77,-0.190049747619588
40.5,-0.26911572578189
33.91,-0.17067242884472
33.91,-0.510983769457286
49.13,-0.349738407007022
41.72,-0.212540472520116
60.75,-0.351295110069852
60.75,0.12777086809245
56.7,-0.0691157257818898
48.2,-0.351295110069852
30.17,-0.291606450682418
30.17,0.0680822087050159
35.22,-0.493163153745248
50.73,-0.0156538786457763
27.65,-0.0528518131326821
37.96,-0.0947198568080785
33.52,-0.349738407007022
33.52,-0.191606450682418
52.65,0.0293275711552803
53.31,-0.451295110069852
50.75,0.147148186867318
42.97,0.405280143191921
