"focal_ID","motherCort","AGD.tail"
"'P000133501",62.57,-0.0288043851693236
"'P000133526",43.13,0.0874595274798837
"'P000133528",43.13,-0.0528518131326821
"'P000133599",60.95,0.0471481868673176
"'P000134725",40.99,0.0277708680924498
"'P000134819",52.42,-0.451295110069852
"'P000134934",59.83,-0.049738407007022
"'P000134935",59.83,-0.230361088232154
"'P000134962",33.56,-0.251295110069852
"'P000135102",46.51,-0.431917791294984
"'P000135610",41.47,-0.149738407007022
"'P000135897",51.44,-0.248181703944192
"'P000135903",51.44,-0.109427066394456
"'P000136036",32.77,-0.190049747619588
"'P000136102",40.5,-0.26911572578189
"'P000136119",33.91,-0.17067242884472
"'P000136121",33.91,-0.510983769457286
"'P000136200",49.13,-0.349738407007022
"'P000136657",41.72,-0.212540472520116
"'P000136670",60.75,-0.351295110069852
"'P000136672",60.75,0.12777086809245
"'P000136879",56.7,-0.0691157257818898
"'P000137345",48.2,-0.351295110069852
"'P000137423",30.17,-0.291606450682418
"'P000137427",30.17,0.0680822087050159
"'P000139004",35.22,-0.493163153745248
"'P000139299",50.73,-0.0156538786457763
"'P000139302",27.65,-0.0528518131326821
"'P000139329",37.96,-0.0947198568080785
"'P000139387",33.52,-0.349738407007022
"'P000139389",33.52,-0.191606450682418
"'P000139395",52.65,0.0293275711552803
"'P000140724",53.31,-0.451295110069852
"'P000141172",50.75,0.147148186867318
"'P000141255",42.97,0.405280143191921
