"agd_tail","density","predicted","conf.low","conf.high"
-1.53,"148.4",2.21608486547531,1.63016693479872,2.80200279615189
-1.53,"257.5",1.56167096547132,1.22042819056297,1.90291374037967
-1.53,"366.6",1.08644887491357,0.67514932853727,1.49774842128987
-1.439,"148.4",2.22156655539006,1.66235910840849,2.78077400237163
-1.439,"257.5",1.57927982222233,1.25181667404384,1.90674297040083
-1.439,"366.6",1.11124928756871,0.716544203486011,1.50595437165141
-1.387,"148.4",2.2246999678229,1.68082146312077,2.76857847252502
-1.387,"257.5",1.58940405142475,1.26878677545058,1.91002132739891
-1.387,"366.6",1.12556937237404,0.740107291849651,1.51103145289843
-1.32,"148.4",2.22873828368724,1.70777498694236,2.74970158043211
-1.32,"257.5",1.6025151558711,1.29314018460734,1.91189012713486
-1.32,"366.6",1.14417632645353,0.772899042240633,1.51545361066643
-1.278,"148.4",2.23127033409124,1.72381490693189,2.73872576125059
-1.278,"257.5",1.61077215861451,1.30917197398709,1.91237234324193
-1.278,"366.6",1.15592857139584,0.790860457071419,1.52099668572025
-1.268,"148.4",2.23187326573609,1.72769157325723,2.73605495821495
-1.268,"257.5",1.61274243601995,1.31300407712412,1.91248079491578
-1.268,"366.6",1.15873661640443,0.795291857812159,1.5221813749967
-1.25,"148.4",2.2329586020737,1.73492255975605,2.73099464439135
-1.25,"257.5",1.61629312460721,1.31992799863408,1.91265825058035
-1.25,"366.6",1.16380061097471,0.803163521072349,1.52443770087708
-1.241,"148.4",2.23350129856477,1.73813715870471,2.72886543842483
-1.241,"257.5",1.61807048818397,1.32340031877103,1.91274065759692
-1.241,"366.6",1.16633717608246,0.807036851473426,1.52563750069149
-1.23,"148.4",2.23416461963335,1.74133915992772,2.72699007933899
-1.23,"257.5",1.62024464909472,1.32765184286848,1.91283745532096
-1.23,"366.6",1.1694415398855,0.81178785911364,1.52709522065736
-1.209,"148.4",2.2354310363737,1.74706262133699,2.72379945141041
-1.209,"257.5",1.62440090086245,1.33623701141376,1.91256479031114
-1.209,"366.6",1.17538057007381,0.822716697396116,1.52804444275151
-1.208,"148.4",2.23549134441317,1.74737756113141,2.72360512769492
-1.208,"257.5",1.62459900027713,1.33663757408407,1.9125604264702
-1.208,"366.6",1.17566378924348,0.823258526927662,1.52806905155931
-1.199,"148.4",2.23603412682073,1.75021384628626,2.72185440735521
-1.199,"257.5",1.62638264209359,1.34015942084179,1.91260586334539
-1.199,"366.6",1.17821442554923,0.828141084782041,1.52828776631642
-1.169,"148.4",2.23784353060464,1.75970043833119,2.71598662287808
-1.169,"257.5",1.63233782388992,1.35242147227434,1.9122541755055
-1.169,"366.6",1.18673807096197,0.844533098199945,1.528943043724
-1.168,"148.4",2.23790384744241,1.76001918833111,2.71578850655372
-1.168,"257.5",1.63253658711777,1.3528297955541,1.91224337868144
-1.168,"366.6",1.18702275998161,0.845102301174742,1.52894321878849
-1.153,"148.4",2.23880862578931,1.76480542851002,2.71281182306859
-1.153,"257.5",1.63552002578066,1.35815378234788,1.91288626921343
-1.153,"366.6",1.19129746367106,0.853403492053734,1.52919143528839
-1.138,"148.4",2.23971345200135,1.76956076090245,2.70986614310026
-1.138,"257.5",1.63850719521074,1.3638934739208,1.91312091650068
-1.138,"366.6",1.19558032586236,0.861933926750633,1.52922672497409
-1.13,"148.4",2.24019604531573,1.77233185507018,2.70806023556128
-1.13,"257.5",1.64010187723188,1.3670508624216,1.91315289204215
-1.13,"366.6",1.19786783866593,0.866017140334299,1.52971853699755
-1.129,"148.4",2.24025637041842,1.77267829375745,2.70783444707939
-1.129,"257.5",1.6403012870616,1.36744188252693,1.91316069159626
-1.129,"366.6",1.19815393963277,0.866466162134683,1.52984171713085
-1.12,"148.4",2.24079930567182,1.77579676221763,2.705801849126
-1.12,"257.5",1.64209672118696,1.370963458912,1.91322998346191
-1.12,"366.6",1.20073046317042,0.870512670906318,1.53094825543453
-1.099,"148.4",2.2420662192393,1.78307792955832,2.70105450892028
-1.099,"257.5",1.64629128570946,1.37920025157978,1.91338231983913
-1.099,"366.6",1.2067536087736,0.881718453777699,1.53178876376949
-1.072,"148.4",2.24369523859239,1.7924960514966,2.69489442568818
-1.072,"257.5",1.65169502659872,1.38973967543148,1.91365037776596
-1.072,"366.6",1.21452063318614,0.89568484870178,1.53335641767051
-1.071,"148.4",2.24375557541514,1.79286403189154,2.69464711893874
-1.071,"257.5",1.65189539685767,1.39013698179138,1.91365381192396
-1.071,"366.6",1.21480879389831,0.896158796171723,1.5334587916249
-1.068,"148.4",2.24393658705909,1.79396804318148,2.69390513093671
-1.068,"257.5",1.65249660691033,1.39132922727287,1.9136639865478
-1.068,"366.6",1.21567348646598,0.897581303362311,1.53376566956965
-1.05,"148.4",2.24502269367652,1.80059432315309,2.68945106419994
-1.05,"257.5",1.65610699379416,1.39849298706309,1.91372100052522
-1.05,"366.6",1.22086824980572,0.906137271477687,1.53559922813375
-1.048,"148.4",2.24514337604778,1.80133081101662,2.68895594107894
-1.048,"257.5",1.65650847867705,1.39929004951282,1.91372690784128
-1.048,"366.6",1.22144614268987,0.90709014712669,1.53580213825306
-1.039,"148.4",2.24568645617058,1.80464558823291,2.68672732410826
-1.039,"257.5",1.6583159791249,1.40287952795659,1.9137524302932
-1.039,"366.6",1.2240483784342,0.911383557938997,1.53671319892941
-1.038,"148.4",2.24574679935716,1.80501395564027,2.68647964307406
-1.038,"257.5",1.65851689517307,1.40327863143639,1.91375515890974
-1.038,"366.6",1.22433768894799,0.911861155910423,1.53681422198556
