"focal_ID","Season.DOB","Density.DOB","AGD.weight"
"'0006B36920","spring",87,-0.434442130342133
"'0006B380D9","spring",87,0.821559311110123
"'0006B8D420","winter",65,1.55756195377846
"'0006B8D7E0","spring",52,0.929561233050714
"'0006B8D859","winter",65,0.801560512322972
"'0006B8DC47","spring",52,0.185562674506198
"'0006B8DC71","winter",65,0.201560512322972
"'0006B8EBF2","spring",81,0.257561953778456
"'0006B8F125","spring",81,-0.862436845008641
"'0006B9B64B","winter",65,1.02556027208039
"'0006B9B6C4","spring",52,-0.00244044864735018
"'0006B9B745","spring",52,1.45756195377846
"'0006B9C88D","spring",81,-0.310436364523479
"'0006B9D7D8","spring",52,0.809562434263618
"'0006CC41E9","spring",95,0.901560512322972
"'0006CC4228","summer",82,0.929561233050714
"'0006CC433A","winter",65,-0.178440688889931
"'0006CC4405","winter",100,-0.142438046221544
"'0006CC44DB","summer",84,1.24555907086749
"'0006CC4698","spring",52,0.749554025773295
"'0006CC48CB","spring",81,1.3655638757191
"'0006CC49D7","spring",81,1.11756435620426
"'0006CC4A3E","spring",52,0.737557148926844
"'0006CC4AE7","summer",90,0.753560992808134
"'0006CC4AE8","spring",81,-0.0424380462215442
"'0006CC4CD3","spring",52,0.681561713535875
"'0006CC4D6E","summer",90,0.00156051232297252
"'0006CC4E27","spring",95,0.921559311110069
"'0006CC4F59","autumn",90,1.15756195377846
"'0006CC50D2","winter",93,0.0575619537784559
"'0006CC50D5","summer",82,1.08156171353588
"'0006CC50E1","summer",82,0.58956363547652
"'0006CC5684","winter",65,1.32556027208039
"'0006CC5954","summer",90,0.305561473293295
"'0006CC5C30","summer",82,0.593570602511358
"'0006CC5CFA","winter",65,0.221559311110069
"'0006CC5D4D","autumn",89,0.145565076932004
"'0006CC62D7","summer",82,0.565557869654585
"'0006CC636C","summer",84,-0.162436845008641
"'0006CC64B8","spring",95,0.565557869654585
"'0006CC64C7","autumn",147,1.28956363547652
"'0006CC64F9","autumn",89,0.509562434263617
"'0006CC66F4","summer",82,1.38156171353588
"'0006CC67A7","spring",95,0.685562674506198
"'0006CC688E","autumn",90,0.209562434263617
"'0006CC690F","summer",95,-0.0624368450086411
"'0006CC6992","autumn",90,-0.190437565736382
"'0006CC69F3","summer",95,-0.170438766949286
"'0006CC6C08","spring",95,-0.258435884038319
"'0006CC6C46","spring",95,1.20556147329329
"'0006CC6EE1","summer",82,0.929561233050714
"'0006CC6FC5","summer",84,0.465563875719101
"'0006CC712A","summer",82,0.729561233050714
"'0006CC7231","winter",100,-0.438437085251221
"'0006CC74DC","summer",160,-0.40244044864735
"'0006CC7603","summer",84,0.125560272080391
"'0006CC7803","winter",100,0.245559070867488
"'0006CC78A7","spring",95,0.881561713535876
