"Season.DOB","Density.DOB","AGD.weight"
"spring",87,-0.434442130342133
"spring",87,0.821559311110123
"winter",65,1.55756195377846
"spring",52,0.929561233050714
"winter",65,0.801560512322972
"spring",52,0.185562674506198
"winter",65,0.201560512322972
"spring",81,0.257561953778456
"spring",81,-0.862436845008641
"winter",65,1.02556027208039
"spring",52,-0.00244044864735018
"spring",52,1.45756195377846
"spring",81,-0.310436364523479
"spring",52,0.809562434263618
"spring",95,0.901560512322972
"summer",82,0.929561233050714
"winter",65,-0.178440688889931
"winter",100,-0.142438046221544
"summer",84,1.24555907086749
"spring",52,0.749554025773295
"spring",81,1.3655638757191
"spring",81,1.11756435620426
"spring",52,0.737557148926844
"summer",90,0.753560992808134
"spring",81,-0.0424380462215442
"spring",52,0.681561713535875
"summer",90,0.00156051232297252
"spring",95,0.921559311110069
"autumn",90,1.15756195377846
"winter",93,0.0575619537784559
"summer",82,1.08156171353588
"summer",82,0.58956363547652
"winter",65,1.32556027208039
"summer",90,0.305561473293295
"summer",82,0.593570602511358
"winter",65,0.221559311110069
"autumn",89,0.145565076932004
"summer",82,0.565557869654585
"summer",84,-0.162436845008641
"spring",95,0.565557869654585
"autumn",147,1.28956363547652
"autumn",89,0.509562434263617
"summer",82,1.38156171353588
"spring",95,0.685562674506198
"autumn",90,0.209562434263617
"summer",95,-0.0624368450086411
"autumn",90,-0.190437565736382
"summer",95,-0.170438766949286
"spring",95,-0.258435884038319
"spring",95,1.20556147329329
"summer",82,0.929561233050714
"summer",84,0.465563875719101
"summer",82,0.729561233050714
"winter",100,-0.438437085251221
"summer",160,-0.40244044864735
"summer",84,0.125560272080391
"winter",100,0.245559070867488
"spring",95,0.881561713535876
"summer",90,0.625560272080391
"winter",93,0.71356339523394
"summer",82,0.92956723911523
"spring",95,0.305561473293295
"winter",93,0.40556747935781
"autumn",90,0.925560272080391
"summer",82,0.633562194021037
"spring",95,-0.0584358840383183
"spring",52,0.925560272080391
"autumn",89,0.201566518387488
"winter",100,0.17355979159523
"winter",100,-0.482435643795738
"winter",100,-0.310436364523479
"spring",95,0.821559311110069
"winter",100,0.221559311110069
"spring",95,0.217558350139747
"spring",95,1.06156291474878
"summer",82,0.0335621940210366
"autumn",89,0.0575619537784559
"summer",163,-0.0864366047660603
"spring",163,-0.690437565736382
"spring",87,0.357561953778456
"summer",163,-0.346439007191867
"autumn",160,0.845559070867488
"autumn",160,0.0215593111100693
"spring",155,0.341564115961682
"spring",87,-0.886442610830576
"spring",87,0.405561473293295
"spring",87,0.161562914748779
"spring",87,-0.614437325493802
"spring",87,0.361562914748778
"spring",155,-0.638437085251222
"autumn",147,-0.550433962097673
"spring",155,-0.234436124280899
"spring",87,1.11356339523394
"spring",155,-0.370438766949286
"summer",138,-0.174433721855092
"spring",87,0.629561233050714
"spring",87,-0.530441169375092
"spring",87,-0.702434442582835
"spring",87,-0.834442130345414
"autumn",160,1.01755835013975
"spring",87,0.485562674506198
"spring",87,-0.486430598701545
"spring",87,0.309562434263618
"autumn",160,0.89755955135265
"spring",87,-0.482441649860253
"spring",87,0.577560752565553
"autumn",160,1.21755835013975
"summer",163,0.181561713535875
"spring",87,1.63756315499136
"spring",87,-0.0584358840383183
"spring",87,-0.910442370587995
"winter",178,0.449560031837811
"summer",163,-0.418438286464125
"autumn",147,-0.214437325493802
"autumn",147,-0.194438526706705
"summer",158,0.365563875719101
"summer",158,-0.0824416498602535
"autumn",147,-0.830441169375092
"summer",158,-0.322439247434447
"winter",100,0.317558350139746
"spring",180,0.0855626745061979
"summer",160,-0.474439727919608
"summer",160,1.14156411596168
"spring",95,0.573565797659746
"summer",137,-0.558441890102834
"summer",137,-0.618438286464124
"summer",160,-1.18643660476606
"summer",160,-0.374439727919609
"summer",137,0.37355979159523
"summer",158,0.481561713535875
"winter",188,-0.354440929132511
"summer",137,-0.810436364523479
"summer",137,-0.0184382864641247
"autumn",147,-0.58643660476606
"spring",180,-0.146445013256382
"summer",160,0.669564836689423
"summer",95,0.721565317174585
"autumn",147,0.365563875719101
"autumn",147,0.101554506258457
"summer",160,1.57756075256555
"summer",158,-1.12243924743445
"summer",137,-0.258435884038319
"autumn",147,-0.90244044864735
"summer",158,-0.034436124280899
"summer",137,0.721559311110069
"summer",137,0.629561233050714
"summer",160,0.141564115961682
"summer",137,-0.334442130345415
"summer",160,-0.330441169375092
"summer",160,-0.246439007191866
"spring",95,-0.0104363645234795
"spring",95,0.105561473293295
"summer",158,-0.0464390071918663
"summer",138,-0.0664378059789635
"summer",160,-0.798439487677028
"summer",137,0.553560992808133
"spring",180,-0.218438286464124
"summer",137,0.453560992808134
"autumn",147,-0.0984394876770276
"autumn",160,0.0455590708674886
"summer",138,-0.910436364523479
"summer",158,-0.186442610830576
"summer",158,0.209562434263617
"summer",160,-0.166437805978963
"autumn",147,-0.306435403553157
"summer",160,-0.998439487677028
"summer",137,-0.470438766949286
"winter",188,0.0335561879565209
"autumn",160,0.0215593111100693
"autumn",147,0.261562914748779
"summer",137,-0.0384370852512215
"summer",137,-0.0184382864641247
"autumn",137,-0.238437085251221
"summer",138,-0.170438766949286
"spring",180,-0.206429397488642
"spring",180,-0.738443091315737
